i580	00109261-a
i581	00109382-a
i582	00109504-a
i583	00109633-a
i584	00109782-a
i585	00109966-a
i586	00110252-a
i587	00110497-a
i588	00110701-a
i589	00110853-a
i590	00111129-a
i591	00111415-a
i592	00111604-s
i593	00111856-a
i594	00112018-s
i595	00112231-a
i596	00112628-a
i597	00113015-a
i598	00113245-a
i599	00113476-a
i600	00113663-a
i601	00113818-a
i602	00114266-s
i603	00114454-s
i604	00114797-s
i605	00114921-s
i606	00115094-s
i607	00115193-s
i608	00115494-s
i609	00115777-s
i610	00115906-s
i611	00116058-s
i612	00116245-s
i613	00116463-a
i614	00116529-a
i615	00116744-s
i616	00116940-s
i617	00117106-a
i618	00117235-s
i619	00117385-a
i620	00117654-s
i621	00117754-a
i622	00117961-s
i623	00118066-a
i624	00118238-a
i625	00118451-s
i626	00118567-a
i627	00118844-s
i628	00119006-s
i629	00119279-s
i630	00119409-a
i631	00119533-s
i632	00119750-s
i633	00119875-a
i634	00119993-s
i635	00120132-a
i636	00120252-a
i637	00120411-a
i638	00120574-a
i639	00120784-s
i640	00121034-a
i641	00121183-s
i642	00121376-s
i643	00121552-a
i644	00121649-a
i645	00121865-a
i646	00122128-s
i647	00122245-s
i648	00122386-s
i649	00122626-a
i650	00122844-s
i651	00123485-s
i652	00123653-a
i653	00123804-a
i654	00123961-s
i655	00124077-a
i656	00124353-s
i657	00124493-s
i658	00124685-s
i659	00124918-a
i660	00125068-s
i661	00125170-s
i662	00125319-a
i663	00125553-s
i664	00125711-a
i665	00125993-s
i666	00126116-s
i667	00126235-s
i668	00126339-s
i669	00126497-s
i670	00126702-s
i671	00126830-s
i672	00127137-s
i673	00127296-a
i674	00127543-s
i675	00127661-s
i676	00127815-s
i677	00127948-s
i678	00128137-s
i679	00128262-s
i680	00128467-a
i681	00128572-a
i682	00128733-s
i683	00128882-a
i684	00129029-a
i685	00129103-a
i686	00129276-a
i687	00129467-a
i688	00129612-a
i689	00129729-a
i690	00129878-a
i691	00130017-a
i692	00130151-a
i693	00130281-a
i694	00130412-a
i695	00130518-s
i696	00130596-a
i697	00130701-s
i698	00130778-a
i699	00131018-s
i700	00131176-s
i701	00131297-s
i702	00131426-a
i703	00131692-s
i704	00131863-s
i705	00132040-s
i706	00132127-a
i707	00132385-a
i708	00132754-s
i709	00132849-a
i710	00133065-a
i711	00133259-a
i712	00133335-a
i713	00133417-a
i714	00133669-s
i715	00133851-a
i716	00134060-a
i717	00134251-s
i718	00134401-a
i719	00134562-s
i720	00134701-a
i721	00135092-s
i722	00135193-s
i723	00135342-s
i724	00135455-s
i725	00135718-a
i726	00136081-s
i727	00136185-s
i728	00136354-a
i729	00136589-s
i730	00136727-s
i731	00136884-s
i732	00137120-s
i733	00137277-s
i734	00137373-s
i735	00137501-s
i736	00137641-a
i737	00137725-a
i738	00137943-a
i739	00138169-a
i740	00138314-s
i741	00138622-a
i742	00138782-s
i743	00138912-a
i744	00139126-a
i745	00139344-a
i746	00139492-s
i747	00139702-s
i748	00139870-a
i749	00139990-s
i750	00140075-s
i751	00140233-a
i752	00140437-a
i753	00140542-a
i754	00140880-s
i755	00140989-s
i756	00141111-s
i757	00141316-s
i758	00141429-s
i759	00141522-a
i760	00141647-s
i761	00141746-s
i762	00141818-a
i763	00141947-a
i764	00142040-a
i765	00142270-a
i766	00142407-a
i767	00142622-s
i768	00142704-s
i769	00142825-s
i770	00142917-a
i771	00143201-s
i772	00143294-s
i773	00143376-s
i774	00143516-s
i775	00143589-a
i776	00143854-s
i777	00144020-s
i778	00144102-s
i779	00144244-s
i780	00144408-s
i781	00144510-s
i782	00144598-s
i783	00144728-a
i784	00144877-a
i785	00145083-s
i786	00145628-s
i787	00145706-s
i788	00145805-s
i789	00145883-s
i790	00145995-a
i791	00146128-s
i792	00146210-a
i793	00146430-s
i794	00146501-s
i795	00146609-s
i796	00146693-s
i797	00146786-a
i798	00146883-a
